blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,lat,lng,postal
352,ANG MO KIO ST 32,30,1999,Y,N,N,N,N,N,AMK,135,0,0,0,87,48,0,0,0,0,0,0,0,1.36426028871543,103.849693071034,NIL
352,BT BATOK ST 34,4,1985,Y,N,N,N,N,N,BB,12,0,0,0,0,0,12,0,0,0,0,0,0,1.36376374935757,103.750104044118,NIL
352,CHOA CHU KANG CTRL,12,1991,Y,N,N,N,N,N,CCK,88,0,0,0,55,33,0,0,0,0,0,0,0,1.38308302434129,103.747076627693,NIL
352,CLEMENTI AVE 2,4,1977,Y,Y,N,N,N,N,CL,69,0,0,58,10,0,1,0,0,0,0,0,0,1.31437328536733,103.770805494512,120353
352,HOUGANG AVE 7,13,1984,Y,N,N,N,N,N,HG,96,0,0,0,96,0,0,0,0,0,0,0,0,1.36723963461641,103.899190031581,NIL
352,JURONG EAST ST 31,3,1984,Y,Y,N,N,N,N,JE,12,0,0,12,0,0,0,0,0,0,0,0,0,1.34528588144261,103.730139458498,NIL
352,KANG CHING RD,11,1995,Y,N,N,Y,N,N,JW,104,0,0,0,64,40,0,0,0,0,0,0,0,1.33936578851082,103.720184382685,610352
352,TAMPINES ST 33,10,1994,Y,N,N,N,N,N,TAP,72,0,0,0,45,27,0,0,0,0,0,0,0,1.35687847904174,103.937739198068,520703
352,UBI AVE 1,10,1988,Y,N,N,Y,N,N,GL,108,0,0,0,62,46,0,0,0,0,0,0,0,1.32970734674113,103.899775893502,NIL
352,WOODLANDS AVE 1,12,1996,Y,N,N,Y,N,N,WL,77,0,0,0,44,33,0,0,0,0,0,0,0,1.43097003446442,103.78451978162,739066
352,YISHUN RING RD,11,1987,Y,N,N,N,N,N,YS,50,0,0,0,0,0,50,0,0,0,0,0,0,1.42612719073754,103.832079231115,NIL
352A,ANG MO KIO ST 32,5,1999,N,N,N,N,Y,N,AMK,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36426028871543,103.849693071034,NIL
352A,CANBERRA RD,14,2000,Y,N,N,N,N,N,SB,80,0,0,0,27,53,0,0,0,0,0,0,0,1.45151463434143,103.820570382895,NIL
352B,CANBERRA RD,14,2000,Y,N,N,N,N,N,SB,80,0,0,0,27,53,0,0,0,0,0,0,0,1.45151463434143,103.820570382895,NIL
352C,CANBERRA RD,14,2000,Y,N,N,N,N,N,SB,91,0,0,0,26,65,0,0,0,0,0,0,0,1.45151463434143,103.820570382895,NIL
353,ADMIRALTY DR,1,2000,N,N,N,N,N,Y,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45061270235919,103.817054634212,NIL
353,ANG MO KIO ST 32,30,1999,Y,N,N,N,N,N,AMK,145,0,0,0,87,58,0,0,0,0,0,0,0,1.36426028871543,103.849693071034,NIL
353,ANCHORVALE LANE,7,2019,N,Y,N,Y,Y,Y,SK,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39203920638192,103.884372614166,NIL
353,BT BATOK ST 34,4,1985,Y,N,N,N,N,N,BB,8,0,0,0,0,0,8,0,0,0,0,0,0,1.36376374935757,103.750104044118,NIL
353,CHOA CHU KANG CTRL,14,1991,Y,N,N,Y,N,N,CCK,117,0,0,0,65,52,0,0,0,0,0,0,0,1.38308302434129,103.747076627693,NIL
353,CLEMENTI AVE 2,1,1978,N,Y,Y,N,N,N,CL,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31437917978956,103.770919561136,120353
353,HOUGANG AVE 7,4,1984,Y,N,N,N,N,N,HG,8,0,0,0,0,0,8,0,0,0,0,0,0,1.36723963461641,103.899190031581,NIL
353,JURONG EAST ST 31,2,1984,N,Y,N,N,N,N,JE,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34528588144261,103.730139458498,NIL
353,KANG CHING RD,11,1995,Y,N,N,Y,N,N,JW,104,0,0,0,64,40,0,0,0,0,0,0,0,1.33910820201548,103.72199577373,NIL
353,TAMPINES ST 33,9,1994,Y,N,N,N,N,N,TAP,80,0,0,0,48,32,0,0,0,0,0,0,0,1.35687847904174,103.937739198068,520703
353,WOODLANDS AVE 1,12,1996,Y,N,N,Y,N,N,WL,77,0,0,0,44,33,0,0,0,0,0,0,0,1.43097003446442,103.78451978162,739066
353,YISHUN RING RD,12,1987,Y,N,N,N,N,N,YS,110,0,0,66,44,0,0,0,0,0,0,0,0,1.42612719073754,103.832079231115,NIL
353A,ANCHORVALE LANE,17,2019,Y,N,N,N,N,N,SK,240,0,176,32,32,0,0,0,0,0,0,0,0,1.39203920638192,103.884372614166,NIL
353A,ADMIRALTY DR,15,2000,Y,N,N,N,N,N,SB,86,0,0,0,29,57,0,0,0,0,0,0,0,1.45061270235919,103.817054634212,NIL
353A,CLEMENTI AVE 2,1,1980,N,Y,N,N,N,N,CL,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31437328536733,103.770805494512,120353
353B,ANCHORVALE LANE,18,2019,Y,N,N,N,N,N,SK,224,0,144,32,48,0,0,0,0,0,0,0,0,1.39203920638192,103.884372614166,NIL
